field_source_collection,field_source_collection_id,field_source_repository,field_source_citation,field_related_title_part_of,Status,mods_relatedItem_host_titleInfo_title_ms,mods_relatedItem_host_originInfo_dateCreated_ms,mods_relatedItem_host_identifier_ms,mods_relatedItem_host_identifier_local-asc_ms,mods_relatedItem_host_note_prefercite_ms,mods_relatedItem_note_prefercite_ms
"Walter and Martha Leuba Prints, 1880-1969",SC.1988.02,"Archives & Special Collections, University of Pittsburgh Library System","Walter and Martha Leuba Prints, 1880-1969, SC.1988.02, Archives & Special Collections, University of Pittsburgh Library System",,review,Walter and Martha Leuba Collection,,,,Walter and Martha Leuba Collection,
"World War I Trench Maps, 1914-1918",,"Archives & Special Collections, University of Pittsburgh Library System","World War I Trench Maps, 1914-1918, Archives & Special Collections, University of Pittsburgh Library System",,remove,"World War I Trench Maps\, 1914-1918",,,,"World War I Trench Maps\, 1914-1918",
"World War I Trench Maps, 1914-1918",,"Archives & Special Collections, University of Pittsburgh Library System","World War I Trench Maps, 1914-1918, Archives & Special Collections, University of Pittsburgh Library System",,remove,"World War I Trench Maps\, 1914-1918",,,,,"World War I Trench Maps\, 1914-1918"
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065785366,,,
"H.H. Seiferth Sign Company Photographs, 1900-1930",PSS 0037,"Detre Library & Archives, Heinz History Center","H.H. Seiferth Sign Company Photographs, 1900-1930, PSS 0037, Detre Library & Archives, Heinz History Center",,,,,,,"H.H. Seiferth Sign Company Photographs\, 1900-1930\, PSS 0037 \, Library and Archives Division\, Senator John Heinz History Center",
"Dunning McNair and Dunning Robert McNair Papers, 1795-1857",DAR.1943.01,"Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System","Dunning McNair and Dunning Robert McNair Papers, 1795-1857, DAR.1943.01, Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System",,,,,,,"Dunning McNair and Dunning Robert McNair Papers\, 1795-1857\, DAR.1943.01\, Darlington Collection\, Special Collections Department\, University of Pittsburgh",
"Abner Shimony Papers, 1947-2009",ASP.2009.02,"Archives of Scientific Philosophy, Archives & Special Collections, University of Pittsburgh Library System","Abner Shimony Papers, 1947-2009, ASP.2009.02, Archives of Scientific Philosophy, Archives & Special Collections, University of Pittsburgh Library System",,,,,,,"Abner Shimony Papers\, 1947-2009\, ASP.2009.02\, Archives of Scientific Philosophy\, Special Collections Department\, University of Pittsburgh.",
"Pittsburgh & Lake Erie Railroad Company Photographs, 1886-1972",AIS.1982.23.PH,"Archives & Special Collections, University of Pittsburgh Library System","Pittsburgh & Lake Erie Railroad Company Photographs, 1886-1972, AIS.1982.23.PH, Archives & Special Collections, University of Pittsburgh Library System",,,,,,,"Pittsburgh and Lake Erie Railroad Company Photographs\, 1886-1972\, AIS.1982.23.PH\, Archives Service Center\, University of Pittsburgh",
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065784559,,,
"Eichleay Company Records and Photographs, 1889-1989",MSS 960,"Detre Library & Archives, Heinz History Center","Eichleay Company Records and Photographs, 1889-1989, MSS 960, Detre Library & Archives, Heinz History Center",,,,,MSS 960,,,
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065784567,,,
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065785333,,,
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065784716,,,
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065785416,,,
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065784484,,,
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065784591,,,
"American Left Ephemera Collection, 1875-2015",AIS.2007.11,"Archives & Special Collections, University of Pittsburgh Library System","American Left Ephemera Collection, 1875-2015, AIS.2007.11, Archives & Special Collections, University of Pittsburgh Library System",,,,,,,"American Left Ephemera Collection\, 1894-2008\, AIS.2007.11\, Archives Service Center\, University of Pittsburgh",
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065784849,,,
"Mesta Machine Company Photographs, 1906-1925",MSP 210,"Detre Library & Archives, Heinz History Center","Mesta Machine Company Photographs, 1906-1925, MSP 210, Detre Library & Archives, Heinz History Center",,,,,,,"Mesta Machine Company\, Photographs\, 1906-1925\, MSP #0210\, Library & Archives\, Senator John Heinz History Center",
"Charles Richardson Photographs, 1952-1955",AIS.2013.10,"Archives & Special Collections, University of Pittsburgh Library System","Charles Richardson Photographs, 1952-1955, AIS.2013.10, Archives & Special Collections, University of Pittsburgh Library System",,,,,,,"Charles Richardson Photographs\, 1952-1954\, AIS.2013.10\, Archives Service Center\, University of Pittsburgh",
"Ephraim Douglass Ledgers, 1769-1790",DAR.1937.07,"Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System","Ephraim Douglass Ledgers, 1769-1790, DAR.1937.07, Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System",,,,,,,"Ephraim Douglass Ledger Books\, 1769-1790\, DAR.1937.07\, Darlington Collection\, Special Collections Department\, University of Pittsburgh",
"Extension of the Pittsburgh City Limits Minute Book, 1836-1841",DAR.1937.36,"Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System","Extension of the Pittsburgh City Limits Minute Book, 1836-1841, DAR.1937.36, Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System",,,,,,,"Extension of the Pittsburgh City Limits Minute Book\, 1836-1841\, DAR.1937.36\, Darlington Collection\, Special Collections Department\, University of Pittsburgh",
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065784609,,,
"UE News Photograph Collection, 1933-1998",UE.14.1,"Archives & Special Collections, University of Pittsburgh Library System","UE News Photograph Collection, 1933-1998, UE.14.1, Archives & Special Collections, University of Pittsburgh Library System",,,,,,,"UE News Photograph Collection\, 1933-1998\, UE.14.1\, Archives Service Center\, University of Pittsburgh",
"Russell H. Heffley Photographs, 1925-1950s",AIS.2009.05,"Archives & Special Collections, University of Pittsburgh Library System","Russell H. Heffley Photographs, 1925-1950s, AIS.2009.05, Archives & Special Collections, University of Pittsburgh Library System",,,,,,,"Russell H. Heffley Photograph Collection\, 1924- ca. 1950s\, AIS.2009.05\, Archives Service Center\, University of Pittsburgh",
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065785382,,,
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065785499,,,
"Rose Rand Papers, 1903-1981",ASP.1990.01,"Archives of Scientific Philosophy, Archives & Special Collections, University of Pittsburgh Library System","Rose Rand Papers, 1903-1981, ASP.1990.01, Archives of Scientific Philosophy, Archives & Special Collections, University of Pittsburgh Library System",,,,,,,"Rose Rand Papers\, 1903-1981\, ASP.1990.01\, Archives of Scientific Philosophy\, Special Collections Department\, University of Pittsburgh.",
"Robert Stobo Papers, 1754",DAR.1925.05,"Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System","Robert Stobo Papers, 1754, DAR.1925.05, Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System",,,,,,,"Robert Stobo Papers\, 1754\, DAR.1925.05\, Darlington Collection\, Special Collections Department\, University of Pittsburgh",
"Oliver M. Kaufmann Photograph Collection of the Irene Kaufmann Settlement, 1912-1969",AIS.1978.12,"Archives & Special Collections, University of Pittsburgh Library System","Oliver M. Kaufmann Photograph Collection of the Irene Kaufmann Settlement, 1912-1969, AIS.1978.12, Archives & Special Collections, University of Pittsburgh Library System",,,,,,,"Oliver M. Kaufmann Photograph Collection of the Irene Kaufmann Settlement\, 1912-1969\, AIS.1978.12\, Archives Service Center\, University of Pittsburgh",
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065785465,,,
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065784732,,,
"F. Theodore Wagner Papers, ca. 1903-1947",MSS 388,"Detre Library & Archives, Heinz History Center","F. Theodore Wagner Papers, ca. 1903-1947, MSS 388, Detre Library & Archives, Heinz History Center",,,,,,,"F. Theodore Wagner Papers\, ca. 1903-1947\, MSS #388\, Library & Archives\, Senator John Heinz History Center",
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065784658,,,
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065784500,,,
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065784575,,,
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065784542,,,
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065784534,,,
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065785481,,,
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065784708,,,
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065784799,,,
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065784690,,,
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065785440,,,
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065784633,,,
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065785432,,,
"Congregation B'nai Israel Photographs, c. 1920-1996",MSP 470,"Rauh Jewish Archives, Detre Library & Archives, Heinz History Center","Congregation B'nai Israel Photographs, ca. 1920-1996, MSP 470, Rauh Jewish Archives, Detre Library & Archives, Heinz History Center",,,,,,,"Congregation B'nai Israel Photographs\, c1920-1996\, MSP#470\, Rauh Jewish Archives\, Senator John Heinz History Center",
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065785374,,,
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065784807,,,
"Frederick T. Gretton Photographs, 1857-1953",MSP 328,"Detre Library & Archives, Heinz History Center","Frederick T. Gretton Photographs, 1857-1953, MSP 328, Detre Library & Archives, Heinz History Center",,,,,,,"Frederick T. Gretton\, Photographs\, 1857-1953\, MSP #328\, Library & Archives\, Senator John Heinz History Center",
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065784641,,,
"Pittsburgh Waste Book and Fort Pitt Trading Post Papers, 1757-1765",DAR.1925.03,"Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System","Pittsburgh Waste Book and Fort Pitt Trading Post Papers, 1757-1765, DAR.1925.03, Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System",,,,,,,"Pittsburgh Waste Book and Fort Pitt Trading Post Papers\, 1757-1765\, DAR.1925.03\, Darlington Collection\, Special Collections Department\, University of Pittsburgh",
"Richard C. Jeffrey Papers, 1934-2002",ASP.2003.02,"Archives of Scientific Philosophy, Archives & Special Collections, University of Pittsburgh Library System","Richard C. Jeffrey Papers, 1934-2002, ASP.2003.02, Archives of Scientific Philosophy, Archives & Special Collections, University of Pittsburgh Library System",,,,,,,"Richard C. Jeffrey Papers\, 1934-2002\, ASP.2003.02\, Archives of Scientific Philosophy\, Special Collections Department\, University of Pittsburgh.",
"Pittsburgh Symphony Orchestra Poster Collection, 1947-2013",AC.2013.0002,Pittsburgh Symphony Orchestra Archives,"Pittsburgh Symphony Orchestra Poster Collection, 1947-2013, AC.2013.0002, Pittsburgh Symphony Orchestra Archives",,,,,,,"Pittsburgh Symphony Orchestra Poster Collection\, 1947-2013\, AC.2013.0002\, PSO Archives",
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065784476,,,
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065784773,,,
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065784526,,,
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065784625,,,
"Donohoe Family Papers, 1851-1865",AIS.1977.13,"Archives & Special Collections, University of Pittsburgh Library System","Donohoe Family Papers, 1851-1865, AIS.1977.13, Archives & Special Collections, University of Pittsburgh Library System",,,,,,,"Donohoe Family Papers\, 1851-1865\, AIS.1977.13\, Archives Service Center\, University of Pittsburgh",
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065784781,,,
"Iroquois Land Deed, 1754",DAR.1925.13,"Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System","Iroquois Land Deed, 1754, DAR.1925.13, Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System",,,,,,,"Iroquois Land Deed\, 1754\, DAR.1925.13\, Darlington Collection\, Special Collections Department\, University of Pittsburgh",
"William J. Gaughan Collection, 1887-2000",AIS.1994.03,"Archives & Special Collections, University of Pittsburgh Library System","William J. Gaughan Collection, 1887-2000, AIS.1994.03, Archives & Special Collections, University of Pittsburgh Library System",,,,,,,"William J. Gaughan Collection\, AIS.1994.03\, Archives Service Center\, University of Pittsburgh",
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065784377,,,
"Frank Plumpton Ramsey Papers, 1920-1930",ASP.1983.01,"Archives of Scientific Philosophy, Archives & Special Collections, University of Pittsburgh Library System","Frank Plumpton Ramsey Papers, 1920-1930, ASP.1983.01, Archives of Scientific Philosophy, Archives & Special Collections, University of Pittsburgh Library System",,,,,,,"Frank Plumpton Ramsey Papers\, 1920-1930\, ASP.1983.01\, Archives of Scientific Philosophy\, Special Collections Department\, University of Pittsburgh",
"William V. Winans Jr. Photograph Collection, 1958-1961",PSS 027,"Detre Library & Archives, Heinz History Center","William V. Winans Jr. Photograph Collection, 1958-1961, PSS 027, Detre Library & Archives, Heinz History Center",,,,,,,"The William V. Winans Jr. Photograph Collection\, 1958-1961\, PSS 027 \, Library & Archives\, Senator John Heinz History Center",
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065785341,,,
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065784435,,,
"Thaddeus Sheldon Papers, 1853-1868",DAR.1960.01,"Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System","Thaddeus Sheldon Papers, 1853-1868, DAR.1960.01, Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System",,,,,,,"Thaddeus Sheldon Papers\, 1853-1868\, DAR.1960.01\, Darlington Collection\, Special Collections Department\, University of Pittsburgh",
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065784583,,,
"Robert G. Pflaum Slide Collection, 1910-2000",AIS.2010.01,"Archives & Special Collections, University of Pittsburgh Library System","Robert G. Pflaum Slide Collection, 1910-2000, AIS.2010.01, Archives & Special Collections, University of Pittsburgh Library System",,,,,,,"Robert G. Pflaum Slide Collection\, 1910-2000\, AIS.2010.01\, Archives Service Center\, University of Pittsburgh",
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065784385,,,
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065784740,,,
"James Benney (III) Photographs, 1888-1889",PSS 20,"Detre Library & Archives, Heinz History Center","James Benney (III) Photographs, 1888-1889, PSS 20, Detre Library & Archives, Heinz History Center",,,,,,,"James Benney III\, Photographs\, 1888-1889\, PSS #0020\, Library & Archives\, Senator John Heinz History Center",
"William M. Darlington Fort Pitt Copybooks, 1753-1782",DAR.1925.12,"Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System","William M. Darlington Fort Pitt Copybooks, 1753-1782, DAR.1925.12, Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System",,,,,,,"William Darlington Fort Pitt Copybook\, 1753-1782\, DAR.1925.12\, Darlington Collection\, Special Collections Department\, University of Pittsburgh",
"Fuchs Family Papers & Photographs, 1933-1951",MSS 580,"Detre Library & Archives, Heinz History Center","Fuchs Family Papers & Photographs, 1933-1951, MSS 580, Detre Library & Archives, Heinz History Center",,,,,,,"Fuchs Family Papers & Photographs\, 1933-1951\, MSS 580\, Library & Archives Division\, Senator John Heinz History Center",
"March of the Pittsburgh Blues Copybook, 1812-1813",DAR.1939.02,"Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System","March of the Pittsburgh Blues Copybook, 1812-1813, DAR.1939.02, Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System",,,,,,,"March of the Pittsburgh Blues Copybook\, 1812-1813\, DAR.1939.02\, Darlington Collection\, Special Collections Department\, University of Pittsburgh",
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065784757,,,
"University of Pittsburgh Archives Photographs, ca. 1880-present",UA.Photos,"University Archives, Archives & Special Collections, University of Pittsburgh Library System","University of Pittsburgh Archives Photographs, ca. 1880-present, UA.Photos, University Archives, Archives & Special Collections, University of Pittsburgh Library System",,,,,,,"University of Pittsburgh Historic Photographs\, 1884-present \, Archives Service Center\, University of Pittsburgh",
"John Gates Photograph Collection, ca. 1890-1910",AIS.1991.22,"Archives & Special Collections, University of Pittsburgh Library System","John Gates Photograph Collection, ca. 1890-1910, AIS.1991.22, Archives & Special Collections, University of Pittsburgh Library System",,,,,,,"John Gates Photograph Collection\, ca. 1890-1910\, AIS.1991.22\, Archives Service Center\, University of Pittsburgh",
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065785473,,,
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065784682,,,
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065784815,,,
"African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999",AIS.1998.04,"Archives & Special Collections, University of Pittsburgh Library System","African American Jazz Preservation Society of Pittsburgh Oral History Project Records and Recordings, 1995-1999, AIS.1998.04, Archives & Special Collections, University of Pittsburgh Library System",,,,,31735065785408,,,
